nM,kinetics,PDB_WT,PDB_MUT,ligand,protein,DFG_conformation,method,DSX.Score,DSX.PCS,DSX.SAS,DSX.ScoreWithoutSAS,DSXcsd.Score,DSXcsd.PCS,DSXcsd.SAS,DSXcsd.ScoreWithoutSAS,HADDOCK.TotalScoreElec01,HADDOCK.TotalScoreElec02,HADDOCK.vdW,HADDOCK.Electrostatics,HADDOCK.BSA,HADDOCKmean.TotalScoreElec02,HADDOCKmean.vdW,HADDOCKmean.Electrostatics,HADDOCKmean.Desolvation,HADDOCKmean.RestraintsViolation,HADDOCKmean.BSA,KDEEP.pKd,KDEEP.DeltaG,KDEEP.LigEff,KDEEP.protonated.pKd,KDEEP.protonated.DeltaG,KDEEP.protonated.LigEff,PDBePISA.InterfaceAreaA2,PDBePISA.DeltaG,PDBePISA.DeltaGPvalue,PDBePISA.NHB,Pose,Rank,PRODIGY.DeltaG,PRODIGY.CC,PRODIGY.CO,PRODIGY.CN,PRODIGY.CX,PRODIGY.OO,PRODIGY.OX,PRODIGY.NO,PRODIGY.NN,PRODIGY.NX,PRODIGY.XX
-50.9,Kd,2ity,2itz,IRE,EGFR,in_to_in,spectrofluorometry,-7.992,-0.003,0.783,-8.775,-9.738,-0.007,0.783,-10.521,2.5849,-0.5212,0.9951,-36.5593,-3.114,-3.9,2.2,-38.9,1.7,0.3,-12.2,-0.057128906,0.07,0,-0.037260056,0.05,0,-7.3,-0.2,0.063,1,-10.5,-7.08,-0.1426261,125,58,64,11,6,1,15,9,3,0
0.4,Kd,2j6m,2itp,AEE,EGFR,in_to_in,spectrofluorometry,-26.928,-0.034,3.269,-30.197,-24.134,-0.031,3.269,-27.403,-3.9559,-3.3616,0.7957,-37.881,9.521,-2.4,-0.1,-4.6,-1.3,-0.1,13.6,0.141513825,-0.2,-0.01,0.208922863,-0.28,-0.01,23.9,-0.3,-0.036,0,-7.25,-3.08,-0.2297066,130,-3,22,11,0,0,-1,-2,3,0
-9.2,Kd,2j6m,2itt,AEE,EGFR,in_to_in,spectrofluorometry,-34.758,-0.048,0.457,-35.215,-31.346,-0.043,0.457,-31.803,-5.0385,-11.1274,-0.301,-56.61,2.898,-8.8,1.5,-54.6,0.7,0.8,-10.5,0.419764519,-0.57,-0.02,0.561561108,-0.76,-0.02,6.5,0.2,0.038,0,0.57,3.99,-0.0618879,20,-43,-16,1,0,0,-13,-5,1,0
2,Kd,3g0e,3g0f,B49,KIT,out_to_out,spectrofluorometry,6.579,-0.009,0.653,5.926,4.124,-0.011,0.653,3.471,9.3557,9.9876,1.7805,1.8556,-7.7,5,2.2,-0.3,2.7,0.6,-10,-0.227272511,0.31,0.01,-0.401177883,0.54,0.02,0.4,-0.3,-0.022,1,2.46,1.07,0.3391802,-126,-56,-47,-16,-7,-2,-5,0,-5,0
28.27,Kd,4mxo,4mxx,DB8,Src,in_to_in,spectrofluorometry,5.78,0.004,2.743,3.037,2.357,-0.001,2.743,-0.386,2.1691,1.9108,-0.372,-34.456,7.426,0.7,2.3,-15.4,1.5,0.1,-3.5,0.050238133,-0.07,0,0.107323647,-0.14,-0.01,-15.9,2,0.062,0,0.18,-1.05,0.03758,2,6,-18,-5,-2,-1,5,1,-3,1
20.47,Kd,4mxo,4mxz,DB8,Src,in_to_in,spectrofluorometry,5.128,0.003,2.744,2.384,12.271,0.013,2.744,9.527,-10.358,-6.453,3.5522,8.539,-16.811,-8.2,3.2,29.4,-17.4,0.1,-71.1,0.033555985,-0.05,0,0.169993401,-0.22,-0.01,-5,-0.3,-0.027,0,5.16,3.06,-0.1160779,-26,-16,21,4,-2,-3,-5,1,3,0
-120.5,Kd,5am6,5am7,38O,FGFR,in_to_in,ITC,8.201,0.016,2.705,5.496,8.176,0.015,2.705,5.471,-18.5865,-18.3519,0.1216,4.2186,13.759,-22.1,0.2,-2.2,-22,0.8,6.1,-0.102527142,0.13,0,-0.040772438,0.05,0,-5.7,-0.6,0.01,0,3.97,1.91,-0.0574604,30,15,5,10,-2,-2,3,3,-1,1
0.63,Ki,4cli,4clj,5P8,ALK,in_to_in,FRET,6.719,0.007,1.096,5.623,1.539,-0.001,1.096,0.443,15.6989,14.1941,-2.2707,-8.05592,-5.6,14.5,-1,-11.8,17.9,-0.3,-12.2,0.139920711,-0.19,0,0.31307745,-0.43,-0.02,7.3,-0.2,-0.006,-1,1.28,-0.78,0.0652218,-33,-20,-12,19,-2,4,4,3,3,1
583,Ki,4eor,4eok,4SP,CDK2,in_to_in,radiolabeling,9.908,-0.001,-2.085,11.993,1.494,-0.012,-2.085,3.579,-10.8521,-19.4559,4.7295,-101.577,52.299,-23.7,5.9,-96.5,-10.3,-0.1,49.1,0.094110012,-0.13,0,0.117919445,-0.16,-0.01,20,-0.1,0.017,-1,8.47,3.13,-0.1811052,-61,9,-86,-1,7,6,-4,-19,-2,1
-3.7,Ki,4wa9,4twp,AXI,ABL1,out_to_in,MSA,-3.592,0.008,-5.565,1.973,-8.323,0.002,-5.565,-2.758,10.3868,5.7917,-3.4713,-40.9508,-95.33,4.3,-4.1,-47.6,17.9,0.1,-70.4,0.062913894,-0.09,0,0.016628265,-0.02,0,-29.3,1.6,0.194,3,3.72,1.31,-0.2252791,90,51,43,29,8,4,2,6,7,1
-214.6,Ki,5cav,5cas,4ZQ,EGFR,in_to_in,MSA,-8.912,-0.005,1.923,-10.835,-4.956,-0.002,1.923,-6.879,7.4197,6.4892,-1.3359,-5.0123,-24.61,2.9,-0.3,-2,3.6,1,-32.6,0.154479027,-0.21,-0.01,0.19315815,-0.26,-0.01,-10.3,0.3,-0.008,-1,-9.39,-6.65,-0.625399,39,-9,6,32,5,-1,-8,-2,1,4
-1071,Ki,5em8,5em7_A,5Q4,EGFR,in_to_in,MSA,-17.489,-0.002,-0.483,-17.006,-16.414,-0.002,-0.483,-15.931,2.4483,1.0249,-2.9707,-21.2874,3.336,-0.1,-4.2,-21,8.1,1.8,17.8,0.222817421,-0.3,-0.01,0.384713173,-0.52,-0.01,14.5,0.2,-0.013,-1,-3.25,0.4,-0.3494583,179,65,73,19,7,5,9,5,3,0
-1071,Ki,5em8,5em7_B,5Q4,EGFR,in_to_in,MSA,-17.019,-0.004,-2.445,-14.574,-15.581,-0.003,-2.445,-13.136,3.5964,2.3782,-3.4171,-22.7893,0.275,0.5,-4,-26.8,9.7,1.6,11.2,0.189723492,-0.26,-0.01,0.367397309,-0.5,-0.01,13.9,0.6,0.004,-1,-0.72,0.7,-0.2628591,195,72,61,17,5,5,5,5,3,0
